10000 3
0.687406 0.570300 0.759964 
0.648445 0.661987 0.757585 
0.660653 0.614781 0.406455 
0.524236 0.416595 0.552081 
0.237539 0.206562 0.291881 
0.880839 0.738881 0.886697 
0.278276 0.309422 0.194990 
0.440882 0.634141 0.473523 
0.382109 0.426156 0.159187 
0.543882 0.594814 0.547291 
0.517552 0.634726 0.615700 
0.284270 0.282299 0.505485 
0.511106 0.591401 0.677147 
0.814587 0.683393 0.720861 
0.519787 0.738417 0.793466 
0.683426 0.506494 0.447406 
0.357832 0.274155 0.193167 
0.073093 0.097889 0.123698 
0.552631 0.812301 0.494850 
0.612152 0.510024 0.235319 
0.485123 0.567744 0.545146 
0.432081 0.446676 0.533654 
0.608449 0.587016 0.436608 
0.487816 0.719719 0.378508 
0.563090 0.484567 0.421618 
0.803212 0.693808 0.649615 
0.434077 0.394112 0.456095 
0.320559 0.302080 0.200159 
0.689411 0.575619 0.679326 
0.757834 0.609988 0.499997 
0.258270 0.518203 0.598905 
0.657802 0.474875 0.566606 
0.843157 0.792567 0.813731 
0.615915 0.778025 0.784505 
0.293137 0.244866 0.220345 
0.440774 0.395933 0.265675 
0.370834 0.312706 0.314061 
0.628546 0.283023 0.646195 
0.418325 0.384910 0.668204 
0.304960 0.285556 0.313540 
0.525729 0.552284 0.456129 
0.542914 0.537803 0.855013 
0.228708 0.152834 0.124536 
0.600992 0.478435 0.486431 
0.441018 0.328219 0.715994 
0.932372 0.678246 0.826623 
0.303841 0.702351 0.375287 
0.210875 0.405462 0.294457 
0.507562 0.752768 0.301755 
0.242625 0.290077 0.360180 
0.225411 0.515127 0.370365 
0.354019 0.605566 0.310617 
0.634811 0.638586 0.599250 
0.378552 0.633806 0.451811 
0.398185 0.697858 0.476588 
0.521119 0.261773 0.569255 
0.230254 0.197996 0.238182 
0.488372 0.625769 0.478208 
0.605823 0.744684 0.549340 
0.622633 0.754070 0.681579 
0.553075 0.813519 0.273259 
0.190808 0.170626 0.203200 
0.369215 0.558389 0.212148 
0.670574 0.601353 0.377707 
0.442621 0.672004 0.367094 
0.252075 0.181817 0.267553 
0.406881 0.614862 0.519941 
0.575173 0.517825 0.381637 
0.606082 0.350349 0.559843 
0.562289 0.526423 0.553214 
